ANO;MES;NM_MES;PRODUTO;NM_ESTADO;MUNICIPIO;VL_MEDIO_VENDA
2022;1;JANEIRO;DIESEL;ACRE;CRUZEIRO DO SUL;6.68
2022;1;JANEIRO;DIESEL;ACRE;RIO BRANCO;6.19
2022;1;JANEIRO;DIESEL;ALAGOAS;ARAPIRACA;5.48
2022;1;JANEIRO;DIESEL;ALAGOAS;DELMIRO GOUVEIA;6.12
2022;1;JANEIRO;DIESEL;ALAGOAS;MACEIO;5.57
2022;1;JANEIRO;DIESEL;ALAGOAS;PALMEIRA DOS INDIOS;5.67
2022;1;JANEIRO;DIESEL;AMAPÁ;MACAPA;5.53
2022;1;JANEIRO;DIESEL;AMAZONAS;ITACOATIARA;5.96
2022;1;JANEIRO;DIESEL;AMAZONAS;MANAUS;5.49
2022;1;JANEIRO;DIESEL;AMAZONAS;TEFE;6.33
2022;1;JANEIRO;DIESEL;BAHIA;BARREIRAS;5.73
2022;1;JANEIRO;DIESEL;BAHIA;BRUMADO;5.72
2022;1;JANEIRO;DIESEL;BAHIA;CAETITE;6.22
2022;1;JANEIRO;DIESEL;BAHIA;CAMACARI;5.58
2022;1;JANEIRO;DIESEL;BAHIA;EUNAPOLIS;5.91
2022;1;JANEIRO;DIESEL;BAHIA;FEIRA DE SANTANA;5.5
2022;1;JANEIRO;DIESEL;BAHIA;GUANAMBI;5.78
2022;1;JANEIRO;DIESEL;BAHIA;ILHEUS;5.88
2022;1;JANEIRO;DIESEL;BAHIA;IRECE;5.65
2022;1;JANEIRO;DIESEL;BAHIA;ITABUNA;5.62
2022;1;JANEIRO;DIESEL;BAHIA;JEQUIE;5.78
2022;1;JANEIRO;DIESEL;BAHIA;JUAZEIRO;5.84
2022;1;JANEIRO;DIESEL;BAHIA;LAURO DE FREITAS;5.47
2022;1;JANEIRO;DIESEL;BAHIA;PAULO AFONSO;5.67
2022;1;JANEIRO;DIESEL;BAHIA;SALVADOR;5.62
2022;1;JANEIRO;DIESEL;BAHIA;SERRINHA;5.48
2022;1;JANEIRO;DIESEL;BAHIA;SIMOES FILHO;5.61
2022;1;JANEIRO;DIESEL;BAHIA;VITORIA DA CONQUISTA;5.66
2022;1;JANEIRO;DIESEL;CEARÁ;CAUCAIA;5.77
2022;1;JANEIRO;DIESEL;CEARÁ;CRATEUS;5.66
2022;1;JANEIRO;DIESEL;CEARÁ;CRATO;5.56
2022;1;JANEIRO;DIESEL;CEARÁ;FORTALEZA;5.74
2022;1;JANEIRO;DIESEL;CEARÁ;IGUATU;6.14
2022;1;JANEIRO;DIESEL;CEARÁ;JUAZEIRO DO NORTE;5.66
2022;1;JANEIRO;DIESEL;CEARÁ;LIMOEIRO DO NORTE;5.84
2022;1;JANEIRO;DIESEL;CEARÁ;MARACANAU;5.52
2022;1;JANEIRO;DIESEL;CEARÁ;QUIXADA;5.57
2022;1;JANEIRO;DIESEL;DISTRITO FEDERAL;BRASILIA;5.49
2022;1;JANEIRO;DIESEL;ESPIRITO SANTO;ARACRUZ;5.19
2022;1;JANEIRO;DIESEL;ESPIRITO SANTO;CACHOEIRO DE ITAPEMIRIM;5.89
2022;1;JANEIRO;DIESEL;ESPIRITO SANTO;CARIACICA;5.25
2022;1;JANEIRO;DIESEL;ESPIRITO SANTO;COLATINA;5.47
2022;1;JANEIRO;DIESEL;ESPIRITO SANTO;GUARAPARI;5.44
2022;1;JANEIRO;DIESEL;ESPIRITO SANTO;LINHARES;5.18
2022;1;JANEIRO;DIESEL;ESPIRITO SANTO;SAO MATEUS;5.17
2022;1;JANEIRO;DIESEL;ESPIRITO SANTO;SERRA;5.25
2022;1;JANEIRO;DIESEL;ESPIRITO SANTO;VILA VELHA;5.24
2022;1;JANEIRO;DIESEL;ESPIRITO SANTO;VITORIA;5.55
2022;1;JANEIRO;DIESEL;GOIÁS;AGUAS LINDAS DE GOIAS;5.73
2022;1;JANEIRO;DIESEL;GOIÁS;ANAPOLIS;5.52
2022;1;JANEIRO;DIESEL;GOIÁS;APARECIDA DE GOIANIA;5.45
2022;1;JANEIRO;DIESEL;GOIÁS;CALDAS NOVAS;5.69
2022;1;JANEIRO;DIESEL;GOIÁS;FORMOSA;5.77
2022;1;JANEIRO;DIESEL;GOIÁS;GOIANIA;5.54
2022;1;JANEIRO;DIESEL;GOIÁS;ITUMBIARA;5.5
2022;1;JANEIRO;DIESEL;GOIÁS;JATAI;5.69
2022;1;JANEIRO;DIESEL;GOIÁS;LUZIANIA;5.59
2022;1;JANEIRO;DIESEL;GOIÁS;MINEIROS;5.7
2022;1;JANEIRO;DIESEL;GOIÁS;MORRINHOS;5.58
2022;1;JANEIRO;DIESEL;GOIÁS;RIO VERDE;5.52
2022;1;JANEIRO;DIESEL;GOIÁS;TRINDADE;5.44
2022;1;JANEIRO;DIESEL;GOIÁS;VALPARAISO DE GOIAS;5.49
2022;1;JANEIRO;DIESEL;MARANHÃO;IMPERATRIZ;5.5
2022;1;JANEIRO;DIESEL;MARANHÃO;SAO JOSE DE RIBAMAR;5.34
2022;1;JANEIRO;DIESEL;MARANHÃO;SAO LUIS;5.5
2022;1;JANEIRO;DIESEL;MATO GROSSO;ALTA FLORESTA;6.41
2022;1;JANEIRO;DIESEL;MATO GROSSO;CACERES;5.65
2022;1;JANEIRO;DIESEL;MATO GROSSO;CUIABA;5.73
2022;1;JANEIRO;DIESEL;MATO GROSSO;RONDONOPOLIS;6.05
2022;1;JANEIRO;DIESEL;MATO GROSSO;SINOP;5.81
