ANO;MES;NM_MES;PRODUTO;VL_MEDIO_VENDA
2022;1;JANEIRO;DIESEL;5.51
2022;1;JANEIRO;DIESEL S10;5.57
2022;1;JANEIRO;ETANOL;5.26
2022;1;JANEIRO;GASOLINA;6.64
2022;1;JANEIRO;GASOLINA ADITIVADA;6.79
2022;1;JANEIRO;GNV;4.56
2022;2;FEVEREIRO;DIESEL;5.61
2022;2;FEVEREIRO;DIESEL S10;5.67
2022;2;FEVEREIRO;ETANOL;5.02
2022;2;FEVEREIRO;GASOLINA;6.6
2022;2;FEVEREIRO;GASOLINA ADITIVADA;6.75
2022;2;FEVEREIRO;GNV;4.74
2022;3;MARÇO;DIESEL;6.29
2022;3;MARÇO;DIESEL S10;6.38
2022;3;MARÇO;ETANOL;5.12
2022;3;MARÇO;GASOLINA;7.01
2022;3;MARÇO;GASOLINA ADITIVADA;7.16
2022;3;MARÇO;GNV;4.86
2022;4;ABRIL;DIESEL;6.62
2022;4;ABRIL;DIESEL S10;6.75
2022;4;ABRIL;ETANOL;5.55
2022;4;ABRIL;GASOLINA;7.24
2022;4;ABRIL;GASOLINA ADITIVADA;7.38
2022;4;ABRIL;GNV;4.91
2022;5;MAIO;DIESEL;6.87
2022;5;MAIO;DIESEL S10;6.99
2022;5;MAIO;ETANOL;5.6
2022;5;MAIO;GASOLINA;7.29
2022;5;MAIO;GASOLINA ADITIVADA;7.44
2022;5;MAIO;GNV;5.33
2022;6;JUNHO;DIESEL;7.23
2022;6;JUNHO;DIESEL S10;7.34
2022;6;JUNHO;ETANOL;5.32
2022;6;JUNHO;GASOLINA;7.26
2022;6;JUNHO;GASOLINA ADITIVADA;7.41
2022;6;JUNHO;GNV;5.43
2022;7;JULHO;DIESEL;7.49
2022;7;JULHO;DIESEL S10;7.6
2022;7;JULHO;ETANOL;4.76
2022;7;JULHO;GASOLINA;6.06
2022;7;JULHO;GASOLINA ADITIVADA;6.24
2022;7;JULHO;GNV;5.23
2022;8;AGOSTO;DIESEL;7.13
2022;8;AGOSTO;DIESEL S10;7.23
2022;8;AGOSTO;ETANOL;4.3
2022;8;AGOSTO;GASOLINA;5.42
2022;8;AGOSTO;GASOLINA ADITIVADA;5.6
2022;8;AGOSTO;GNV;5.16
2022;9;SETEMBRO;DIESEL;6.88
2022;9;SETEMBRO;DIESEL S10;6.97
2022;9;SETEMBRO;ETANOL;3.85
2022;9;SETEMBRO;GASOLINA;5.03
2022;9;SETEMBRO;GASOLINA ADITIVADA;5.2
2022;9;SETEMBRO;GNV;5.14
2022;10;OUTUBRO;DIESEL;6.55
2022;10;OUTUBRO;DIESEL S10;6.66
2022;10;OUTUBRO;ETANOL;3.74
2022;10;OUTUBRO;GASOLINA;4.86
2022;10;OUTUBRO;GASOLINA ADITIVADA;5.06
2022;10;OUTUBRO;GNV;5.0
2022;11;NOVEMBRO;DIESEL;6.58
2022;11;NOVEMBRO;DIESEL S10;6.69
2022;11;NOVEMBRO;ETANOL;3.97
2022;11;NOVEMBRO;GASOLINA;5.02
2022;11;NOVEMBRO;GASOLINA ADITIVADA;5.19
2022;11;NOVEMBRO;GNV;5.03
2022;12;DEZEMBRO;DIESEL;6.39
2022;12;DEZEMBRO;DIESEL S10;6.52
2022;12;DEZEMBRO;ETANOL;3.99
2022;12;DEZEMBRO;GASOLINA;4.96
2022;12;DEZEMBRO;GASOLINA ADITIVADA;5.15
2022;12;DEZEMBRO;GNV;4.96
2023;1;JANEIRO;DIESEL;6.34
2023;1;JANEIRO;DIESEL S10;6.45
2023;1;JANEIRO;ETANOL;4.07
2023;1;JANEIRO;GASOLINA;5.04
2023;1;JANEIRO;GASOLINA ADITIVADA;5.23
2023;1;JANEIRO;GNV;4.92
2023;2;FEVEREIRO;DIESEL;6.08
2023;2;FEVEREIRO;DIESEL S10;6.19
2023;2;FEVEREIRO;ETANOL;4.02
2023;2;FEVEREIRO;GASOLINA;5.1
2023;2;FEVEREIRO;GASOLINA ADITIVADA;5.29
2023;2;FEVEREIRO;GNV;4.8
2023;3;MARÇO;DIESEL;5.89
2023;3;MARÇO;DIESEL S10;5.99
2023;3;MARÇO;ETANOL;4.13
2023;3;MARÇO;GASOLINA;5.51
2023;3;MARÇO;GASOLINA ADITIVADA;5.7
2023;3;MARÇO;GNV;4.7
2023;4;ABRIL;DIESEL;5.76
2023;4;ABRIL;DIESEL S10;5.85
2023;4;ABRIL;ETANOL;4.16
2023;4;ABRIL;GASOLINA;5.51
2023;4;ABRIL;GASOLINA ADITIVADA;5.69
2023;4;ABRIL;GNV;4.66
2023;5;MAIO;DIESEL;5.39
2023;5;MAIO;DIESEL S10;5.47
2023;5;MAIO;ETANOL;4.18
2023;5;MAIO;GASOLINA;5.4
2023;5;MAIO;GASOLINA ADITIVADA;5.59
2023;5;MAIO;GNV;4.56
2023;6;JUNHO;DIESEL;5.05
2023;6;JUNHO;DIESEL S10;5.12
2023;6;JUNHO;ETANOL;4.01
2023;6;JUNHO;GASOLINA;5.39
2023;6;JUNHO;GASOLINA ADITIVADA;5.57
2023;6;JUNHO;GNV;4.49
2023;7;JULHO;DIESEL;4.98
2023;7;JULHO;DIESEL S10;5.04
2023;7;JULHO;ETANOL;4.08
2023;7;JULHO;GASOLINA;5.61
2023;7;JULHO;GASOLINA ADITIVADA;5.79
2023;7;JULHO;GNV;4.7
2023;8;AGOSTO;DIESEL;5.53
2023;8;AGOSTO;DIESEL S10;5.64
2023;8;AGOSTO;ETANOL;3.94
2023;8;AGOSTO;GASOLINA;5.71
2023;8;AGOSTO;GASOLINA ADITIVADA;5.89
2023;8;AGOSTO;GNV;4.63
2023;9;SETEMBRO;DIESEL;6.1
2023;9;SETEMBRO;DIESEL S10;6.22
2023;9;SETEMBRO;ETANOL;3.95
2023;9;SETEMBRO;GASOLINA;5.84
2023;9;SETEMBRO;GASOLINA ADITIVADA;6.01
2023;9;SETEMBRO;GNV;4.56
2023;10;OUTUBRO;DIESEL;6.12
2023;10;OUTUBRO;DIESEL S10;6.24
2023;10;OUTUBRO;ETANOL;3.9
2023;10;OUTUBRO;GASOLINA;5.77
2023;10;OUTUBRO;GASOLINA ADITIVADA;5.94
2023;10;OUTUBRO;GNV;4.53
2023;11;NOVEMBRO;DIESEL;6.12
2023;11;NOVEMBRO;DIESEL S10;6.23
2023;11;NOVEMBRO;ETANOL;3.85
2023;11;NOVEMBRO;GASOLINA;5.68
2023;11;NOVEMBRO;GASOLINA ADITIVADA;5.86
2023;11;NOVEMBRO;GNV;4.6
2023;12;DEZEMBRO;DIESEL;5.97
2023;12;DEZEMBRO;DIESEL S10;6.07
2023;12;DEZEMBRO;ETANOL;3.78
2023;12;DEZEMBRO;GASOLINA;5.64
2023;12;DEZEMBRO;GASOLINA ADITIVADA;5.83
2023;12;DEZEMBRO;GNV;4.62
