ANO;MES;NM_MES;PRODUTO;ESTADO - SIGLA;NM_ESTADO;VL_MEDIO_VENDA
2022;1;JANEIRO;DIESEL;AC;ACRE;6.33
2022;1;JANEIRO;DIESEL;AL;ALAGOAS;5.77
2022;1;JANEIRO;DIESEL;AM;AMAZONAS;5.66
2022;1;JANEIRO;DIESEL;AP;AMAPÁ;5.53
2022;1;JANEIRO;DIESEL;BA;BAHIA;5.7
2022;1;JANEIRO;DIESEL;CE;CEARÁ;5.73
2022;1;JANEIRO;DIESEL;DF;DISTRITO FEDERAL;5.49
2022;1;JANEIRO;DIESEL;ES;ESPIRITO SANTO;5.26
2022;1;JANEIRO;DIESEL;GO;GOIÁS;5.56
2022;1;JANEIRO;DIESEL;MA;MARANHÃO;5.48
2022;1;JANEIRO;DIESEL;MG;MINAS GERAIS;5.5
2022;1;JANEIRO;DIESEL;MS;MATO GROSSO DO SUL;5.46
2022;1;JANEIRO;DIESEL;MT;MATO GROSSO;5.83
2022;1;JANEIRO;DIESEL;PA;PARÁ;5.85
2022;1;JANEIRO;DIESEL;PB;PARAÍBA;5.5
2022;1;JANEIRO;DIESEL;PE;PERNAMBUCO;5.54
2022;1;JANEIRO;DIESEL;PI;PIAUÍ;5.67
2022;1;JANEIRO;DIESEL;PR;PARANÁ;5.27
2022;1;JANEIRO;DIESEL;RJ;RIO DE JANEIRO;5.41
2022;1;JANEIRO;DIESEL;RO;RONDÔNIA;5.82
2022;1;JANEIRO;DIESEL;RR;RORAIMA;5.77
2022;1;JANEIRO;DIESEL;RS;RIO GRANDE DO SUL;5.38
2022;1;JANEIRO;DIESEL;SC;SANTA CATARINA;5.39
2022;1;JANEIRO;DIESEL;SE;SERGIPE;5.56
2022;1;JANEIRO;DIESEL;SP;SÃO PAULO;5.43
2022;1;JANEIRO;DIESEL;TO;TOCANTINS;5.54
2022;1;JANEIRO;DIESEL S10;AC;ACRE;6.34
2022;1;JANEIRO;DIESEL S10;AL;ALAGOAS;5.75
2022;1;JANEIRO;DIESEL S10;AM;AMAZONAS;5.68
2022;1;JANEIRO;DIESEL S10;AP;AMAPÁ;5.7
2022;1;JANEIRO;DIESEL S10;BA;BAHIA;5.75
2022;1;JANEIRO;DIESEL S10;CE;CEARÁ;5.75
2022;1;JANEIRO;DIESEL S10;DF;DISTRITO FEDERAL;5.61
2022;1;JANEIRO;DIESEL S10;ES;ESPIRITO SANTO;5.36
2022;1;JANEIRO;DIESEL S10;GO;GOIÁS;5.67
2022;1;JANEIRO;DIESEL S10;MA;MARANHÃO;5.53
2022;1;JANEIRO;DIESEL S10;MG;MINAS GERAIS;5.57
2022;1;JANEIRO;DIESEL S10;MS;MATO GROSSO DO SUL;5.56
2022;1;JANEIRO;DIESEL S10;MT;MATO GROSSO;5.89
2022;1;JANEIRO;DIESEL S10;PA;PARÁ;5.87
2022;1;JANEIRO;DIESEL S10;PB;PARAÍBA;5.62
2022;1;JANEIRO;DIESEL S10;PE;PERNAMBUCO;5.42
2022;1;JANEIRO;DIESEL S10;PI;PIAUÍ;5.73
2022;1;JANEIRO;DIESEL S10;PR;PARANÁ;5.33
2022;1;JANEIRO;DIESEL S10;RJ;RIO DE JANEIRO;5.48
2022;1;JANEIRO;DIESEL S10;RO;RONDÔNIA;5.86
2022;1;JANEIRO;DIESEL S10;RR;RORAIMA;5.81
2022;1;JANEIRO;DIESEL S10;RS;RIO GRANDE DO SUL;5.45
2022;1;JANEIRO;DIESEL S10;SC;SANTA CATARINA;5.45
2022;1;JANEIRO;DIESEL S10;SE;SERGIPE;5.67
2022;1;JANEIRO;DIESEL S10;SP;SÃO PAULO;5.51
2022;1;JANEIRO;DIESEL S10;TO;TOCANTINS;5.53
2022;1;JANEIRO;ETANOL;AC;ACRE;6.18
2022;1;JANEIRO;ETANOL;AL;ALAGOAS;5.32
2022;1;JANEIRO;ETANOL;AM;AMAZONAS;5.36
2022;1;JANEIRO;ETANOL;AP;AMAPÁ;5.96
2022;1;JANEIRO;ETANOL;BA;BAHIA;5.49
2022;1;JANEIRO;ETANOL;CE;CEARÁ;5.61
2022;1;JANEIRO;ETANOL;DF;DISTRITO FEDERAL;5.81
2022;1;JANEIRO;ETANOL;ES;ESPIRITO SANTO;5.78
2022;1;JANEIRO;ETANOL;GO;GOIÁS;5.07
2022;1;JANEIRO;ETANOL;MA;MARANHÃO;5.7
2022;1;JANEIRO;ETANOL;MG;MINAS GERAIS;5.22
2022;1;JANEIRO;ETANOL;MS;MATO GROSSO DO SUL;5.3
2022;1;JANEIRO;ETANOL;MT;MATO GROSSO;4.76
2022;1;JANEIRO;ETANOL;PA;PARÁ;6.21
2022;1;JANEIRO;ETANOL;PB;PARAÍBA;5.05
2022;1;JANEIRO;ETANOL;PE;PERNAMBUCO;5.18
2022;1;JANEIRO;ETANOL;PI;PIAUÍ;5.43
2022;1;JANEIRO;ETANOL;PR;PARANÁ;5.15
2022;1;JANEIRO;ETANOL;RJ;RIO DE JANEIRO;6.09
2022;1;JANEIRO;ETANOL;RO;RONDÔNIA;6.11
2022;1;JANEIRO;ETANOL;RR;RORAIMA;6.14
2022;1;JANEIRO;ETANOL;RS;RIO GRANDE DO SUL;6.62
2022;1;JANEIRO;ETANOL;SC;SANTA CATARINA;6.06
2022;1;JANEIRO;ETANOL;SE;SERGIPE;5.14
2022;1;JANEIRO;ETANOL;SP;SÃO PAULO;4.83
2022;1;JANEIRO;ETANOL;TO;TOCANTINS;5.87
2022;1;JANEIRO;GASOLINA;AC;ACRE;7.09
2022;1;JANEIRO;GASOLINA;AL;ALAGOAS;6.69
2022;1;JANEIRO;GASOLINA;AM;AMAZONAS;6.74
2022;1;JANEIRO;GASOLINA;AP;AMAPÁ;5.88
2022;1;JANEIRO;GASOLINA;BA;BAHIA;6.89
2022;1;JANEIRO;GASOLINA;CE;CEARÁ;6.65
2022;1;JANEIRO;GASOLINA;DF;DISTRITO FEDERAL;6.8
2022;1;JANEIRO;GASOLINA;ES;ESPIRITO SANTO;6.8
2022;1;JANEIRO;GASOLINA;GO;GOIÁS;7.0
2022;1;JANEIRO;GASOLINA;MA;MARANHÃO;6.47
2022;1;JANEIRO;GASOLINA;MG;MINAS GERAIS;6.98
2022;1;JANEIRO;GASOLINA;MS;MATO GROSSO DO SUL;6.59
2022;1;JANEIRO;GASOLINA;MT;MATO GROSSO;6.52
2022;1;JANEIRO;GASOLINA;PA;PARÁ;6.88
2022;1;JANEIRO;GASOLINA;PB;PARAÍBA;6.52
2022;1;JANEIRO;GASOLINA;PE;PERNAMBUCO;6.57
2022;1;JANEIRO;GASOLINA;PI;PIAUÍ;6.91
2022;1;JANEIRO;GASOLINA;PR;PARANÁ;6.47
2022;1;JANEIRO;GASOLINA;RJ;RIO DE JANEIRO;7.23
2022;1;JANEIRO;GASOLINA;RO;RONDÔNIA;6.79
2022;1;JANEIRO;GASOLINA;RR;RORAIMA;6.45
2022;1;JANEIRO;GASOLINA;RS;RIO GRANDE DO SUL;6.54
2022;1;JANEIRO;GASOLINA;SC;SANTA CATARINA;6.53
2022;1;JANEIRO;GASOLINA;SE;SERGIPE;6.59
2022;1;JANEIRO;GASOLINA;SP;SÃO PAULO;6.35
2022;1;JANEIRO;GASOLINA;TO;TOCANTINS;6.9
2022;1;JANEIRO;GASOLINA ADITIVADA;AC;ACRE;7.11
2022;1;JANEIRO;GASOLINA ADITIVADA;AL;ALAGOAS;6.77
2022;1;JANEIRO;GASOLINA ADITIVADA;AM;AMAZONAS;6.69
2022;1;JANEIRO;GASOLINA ADITIVADA;AP;AMAPÁ;6.25
2022;1;JANEIRO;GASOLINA ADITIVADA;BA;BAHIA;6.99
2022;1;JANEIRO;GASOLINA ADITIVADA;CE;CEARÁ;6.79
2022;1;JANEIRO;GASOLINA ADITIVADA;DF;DISTRITO FEDERAL;6.88
2022;1;JANEIRO;GASOLINA ADITIVADA;ES;ESPIRITO SANTO;6.92
2022;1;JANEIRO;GASOLINA ADITIVADA;GO;GOIÁS;7.11
2022;1;JANEIRO;GASOLINA ADITIVADA;MA;MARANHÃO;6.64
2022;1;JANEIRO;GASOLINA ADITIVADA;MG;MINAS GERAIS;7.12
2022;1;JANEIRO;GASOLINA ADITIVADA;MS;MATO GROSSO DO SUL;6.75
2022;1;JANEIRO;GASOLINA ADITIVADA;MT;MATO GROSSO;6.65
2022;1;JANEIRO;GASOLINA ADITIVADA;PA;PARÁ;7.03
2022;1;JANEIRO;GASOLINA ADITIVADA;PB;PARAÍBA;6.65
2022;1;JANEIRO;GASOLINA ADITIVADA;PE;PERNAMBUCO;6.73
2022;1;JANEIRO;GASOLINA ADITIVADA;PI;PIAUÍ;7.12
2022;1;JANEIRO;GASOLINA ADITIVADA;PR;PARANÁ;6.61
