ANO;MES;NM_MES;REGIAO - SIGLA;ESTADO - SIGLA;NM_ESTADO;MUNICIPIO;PRODUTO;VL_MEDIO_VENDA
2022;1;JANEIRO;CO;DF;DISTRITO FEDERAL;BRASILIA;DIESEL;5.49
2022;1;JANEIRO;CO;DF;DISTRITO FEDERAL;BRASILIA;DIESEL S10;5.61
2022;1;JANEIRO;CO;DF;DISTRITO FEDERAL;BRASILIA;ETANOL;5.81
2022;1;JANEIRO;CO;DF;DISTRITO FEDERAL;BRASILIA;GASOLINA;6.8
2022;1;JANEIRO;CO;DF;DISTRITO FEDERAL;BRASILIA;GASOLINA ADITIVADA;6.88
2022;1;JANEIRO;CO;GO;GOIÁS;AGUAS LINDAS DE GOIAS;DIESEL;5.73
2022;1;JANEIRO;CO;GO;GOIÁS;AGUAS LINDAS DE GOIAS;DIESEL S10;5.76
2022;1;JANEIRO;CO;GO;GOIÁS;AGUAS LINDAS DE GOIAS;ETANOL;5.19
2022;1;JANEIRO;CO;GO;GOIÁS;AGUAS LINDAS DE GOIAS;GASOLINA;6.93
2022;1;JANEIRO;CO;GO;GOIÁS;AGUAS LINDAS DE GOIAS;GASOLINA ADITIVADA;6.96
2022;1;JANEIRO;CO;GO;GOIÁS;ANAPOLIS;DIESEL;5.52
2022;1;JANEIRO;CO;GO;GOIÁS;ANAPOLIS;DIESEL S10;5.6
2022;1;JANEIRO;CO;GO;GOIÁS;ANAPOLIS;ETANOL;4.78
2022;1;JANEIRO;CO;GO;GOIÁS;ANAPOLIS;GASOLINA;6.75
2022;1;JANEIRO;CO;GO;GOIÁS;ANAPOLIS;GASOLINA ADITIVADA;6.87
2022;1;JANEIRO;CO;GO;GOIÁS;APARECIDA DE GOIANIA;DIESEL;5.45
2022;1;JANEIRO;CO;GO;GOIÁS;APARECIDA DE GOIANIA;DIESEL S10;5.51
2022;1;JANEIRO;CO;GO;GOIÁS;APARECIDA DE GOIANIA;ETANOL;5.02
2022;1;JANEIRO;CO;GO;GOIÁS;APARECIDA DE GOIANIA;GASOLINA;7.09
2022;1;JANEIRO;CO;GO;GOIÁS;APARECIDA DE GOIANIA;GASOLINA ADITIVADA;7.27
2022;1;JANEIRO;CO;GO;GOIÁS;CALDAS NOVAS;DIESEL;5.69
2022;1;JANEIRO;CO;GO;GOIÁS;CALDAS NOVAS;DIESEL S10;5.68
2022;1;JANEIRO;CO;GO;GOIÁS;CALDAS NOVAS;ETANOL;5.19
2022;1;JANEIRO;CO;GO;GOIÁS;CALDAS NOVAS;GASOLINA;7.15
2022;1;JANEIRO;CO;GO;GOIÁS;CALDAS NOVAS;GASOLINA ADITIVADA;7.16
2022;1;JANEIRO;CO;GO;GOIÁS;FORMOSA;DIESEL;5.77
2022;1;JANEIRO;CO;GO;GOIÁS;FORMOSA;DIESEL S10;5.86
2022;1;JANEIRO;CO;GO;GOIÁS;FORMOSA;ETANOL;5.3
2022;1;JANEIRO;CO;GO;GOIÁS;FORMOSA;GASOLINA;7.13
2022;1;JANEIRO;CO;GO;GOIÁS;FORMOSA;GASOLINA ADITIVADA;7.15
2022;1;JANEIRO;CO;GO;GOIÁS;GOIANIA;DIESEL;5.54
2022;1;JANEIRO;CO;GO;GOIÁS;GOIANIA;DIESEL S10;5.66
2022;1;JANEIRO;CO;GO;GOIÁS;GOIANIA;ETANOL;5.04
2022;1;JANEIRO;CO;GO;GOIÁS;GOIANIA;GASOLINA;7.1
2022;1;JANEIRO;CO;GO;GOIÁS;GOIANIA;GASOLINA ADITIVADA;7.24
2022;1;JANEIRO;CO;GO;GOIÁS;ITUMBIARA;DIESEL;5.5
2022;1;JANEIRO;CO;GO;GOIÁS;ITUMBIARA;DIESEL S10;5.63
2022;1;JANEIRO;CO;GO;GOIÁS;ITUMBIARA;ETANOL;4.93
2022;1;JANEIRO;CO;GO;GOIÁS;ITUMBIARA;GASOLINA;6.83
2022;1;JANEIRO;CO;GO;GOIÁS;ITUMBIARA;GASOLINA ADITIVADA;6.86
2022;1;JANEIRO;CO;GO;GOIÁS;JATAI;DIESEL;5.69
2022;1;JANEIRO;CO;GO;GOIÁS;JATAI;DIESEL S10;5.77
2022;1;JANEIRO;CO;GO;GOIÁS;JATAI;ETANOL;5.21
2022;1;JANEIRO;CO;GO;GOIÁS;JATAI;GASOLINA;7.08
2022;1;JANEIRO;CO;GO;GOIÁS;JATAI;GASOLINA ADITIVADA;7.2
2022;1;JANEIRO;CO;GO;GOIÁS;LUZIANIA;DIESEL;5.59
2022;1;JANEIRO;CO;GO;GOIÁS;LUZIANIA;DIESEL S10;5.73
2022;1;JANEIRO;CO;GO;GOIÁS;LUZIANIA;ETANOL;5.03
2022;1;JANEIRO;CO;GO;GOIÁS;LUZIANIA;GASOLINA;6.8
2022;1;JANEIRO;CO;GO;GOIÁS;LUZIANIA;GASOLINA ADITIVADA;6.83
2022;1;JANEIRO;CO;GO;GOIÁS;MINEIROS;DIESEL;5.7
2022;1;JANEIRO;CO;GO;GOIÁS;MINEIROS;DIESEL S10;5.75
2022;1;JANEIRO;CO;GO;GOIÁS;MINEIROS;ETANOL;5.27
2022;1;JANEIRO;CO;GO;GOIÁS;MINEIROS;GASOLINA;6.94
2022;1;JANEIRO;CO;GO;GOIÁS;MINEIROS;GASOLINA ADITIVADA;7.03
2022;1;JANEIRO;CO;GO;GOIÁS;MORRINHOS;DIESEL;5.58
2022;1;JANEIRO;CO;GO;GOIÁS;MORRINHOS;DIESEL S10;5.69
2022;1;JANEIRO;CO;GO;GOIÁS;MORRINHOS;ETANOL;5.15
2022;1;JANEIRO;CO;GO;GOIÁS;MORRINHOS;GASOLINA;7.04
2022;1;JANEIRO;CO;GO;GOIÁS;MORRINHOS;GASOLINA ADITIVADA;7.08
